blocknum,parttime_2007,parttime_2012,parttime_2017,parttime_2022,parttimejob_growth_2007_2022_pct,suburb
516,33,44,65,70,112.1%,"Darlinghurst and Surry Hill"
517,82,83,102,109,32.9%,"Darlinghurst and Surry Hill"
518,208,200,377,377,81.3%,"Darlinghurst and Surry Hill"
519,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
520,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
521,2,7,64,60,2900.0%,"Darlinghurst and Surry Hill"
522,8,41,64,64,700.0%,"Darlinghurst and Surry Hill"
523,49,208,548,407,730.6%,"Darlinghurst and Surry Hill"
524,407,537,389,389,-4.4%,"Darlinghurst and Surry Hill"
525,37,27,25,19,-48.6%,"Darlinghurst and Surry Hill"
526,23,48,59,59,156.5%,"Darlinghurst and Surry Hill"
527,0,0,6,5,0.0%,"Darlinghurst and Surry Hill"
528,7,42,47,47,571.4%,"Darlinghurst and Surry Hill"
529,22,38,48,48,118.2%,"Darlinghurst and Surry Hill"
530,46,72,127,217,371.7%,"Darlinghurst and Surry Hill"
531,5,13,17,17,240.0%,"Darlinghurst and Surry Hill"
532,13,49,51,51,292.3%,"Darlinghurst and Surry Hill"
533,1,1,3,3,0.0%,"Darlinghurst and Surry Hill"
534,7,9,22,22,214.3%,"Darlinghurst and Surry Hill"
535,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
536,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
537,25,28,36,36,44.0%,"Darlinghurst and Surry Hill"
538,3,3,2,2,-33.3%,"Darlinghurst and Surry Hill"
539,0,0,0,0,0.0%,"Darlinghurst and Surry Hill"
540,15,15,1,1,-93.3%,"Darlinghurst and Surry Hill"
541,5,4,1,12,140.0%,"Darlinghurst and Surry Hill"
542,2,4,14,8,300.0%,"Darlinghurst and Surry Hill"
543,0,0,4,1,0.0%,"Darlinghurst and Surry Hill"
544,31,32,13,23,-25.8%,"Darlinghurst and Surry Hill"
545,42,63,76,78,85.7%,"Darlinghurst and Surry Hill"
546,17,22,32,17,0.0%,"Darlinghurst and Surry Hill"
547,2,8,7,7,250.0%,"Darlinghurst and Surry Hill"
548,14,16,10,15,7.1%,"Darlinghurst and Surry Hill"
549,0,4,7,7,0.0%,"Darlinghurst and Surry Hill"
550,49,39,62,67,36.7%,"Darlinghurst and Surry Hill"
551,15,17,50,50,233.3%,"Darlinghurst and Surry Hill"
552,0,5,21,0,0.0%,"Darlinghurst and Surry Hill"
553,0,0,2,2,0.0%,"Darlinghurst and Surry Hill"
554,14,20,15,18,28.6%,"Darlinghurst and Surry Hill"
555,15,5,63,81,440.0%,"Darlinghurst and Surry Hill"
556,7,180,176,164,2242.9%,"Darlinghurst and Surry Hill"
557,0,0,3,2,0.0%,"Darlinghurst and Surry Hill"
558,6,339,4,4,-33.3%,"Darlinghurst and Surry Hill"
560,23,23,35,35,52.2%,"Darlinghurst and Surry Hill"
561,43,48,16,83,93.0%,"Darlinghurst and Surry Hill"
562,481,22,22,22,-95.4%,"Darlinghurst and Surry Hill"
