Num,BLOCKNUM,Total_FullTime_Jobs,Total_PartTime_Jobs,Total_Jobs,Businesses,Internal_FloorArea,PERIMETER,Shape__Area,Shape__Length,suburb,jobs_sqm
581,517,221,109,330,27,20657.00008,424.712,0.000000846,0.0041273,"Darlinghurst and Surry Hill",0.02
582,518,642,377,1019,66,29239.15344,434.508,0.000000872,0.004222485,"Darlinghurst and Surry Hill",0.03
583,67,5664,1144,6808,78,195693.9803,517.375,0.00000126,0.004454696,"Sydney CBD",0.03
584,658,4,6,10,1,5625.443611,234.092,0.000000329,0.002343169,"Redfern, Erskineville and Macdonaldtown",0
585,507,251,23,274,11,20501.65687,514.983,0.000000944,0.004874865,"Darlinghurst and Surry Hill",0.01
586,714,3,8,11,1,6036.665812,498.546,0.000000639,0.00460249,"Redfern, Erskineville and Macdonaldtown",0
587,715,6,20,26,4,9556.966649,477.702,0.00000106,0.004511261,"Redfern, Erskineville and Macdonaldtown",0
588,716,7,13,20,1,8788.921116,473.012,0.00000115,0.004699641,"Redfern, Erskineville and Macdonaldtown",0
589,712,0,1,1,1,3643.215711,338.388,0.000000409,0.003180622,"Redfern, Erskineville and Macdonaldtown",0
590,713,8,18,26,3,11374.40926,584.321,0.00000136,0.005455414,"Redfern, Erskineville and Macdonaldtown",0
591,590,29,20,49,10,125690.4782,858.423,0.00000466,0.008483608,"Darlinghurst and Surry Hill",0
592,657,204,47,251,23,19419.56187,352.519,0.000000746,0.003417884,"Redfern, Erskineville and Macdonaldtown",0.01
593,508,44,13,57,10,21206.21546,426.589,0.000000922,0.004033474,"Darlinghurst and Surry Hill",0
594,530,1074,217,1291,29,51911.71474,505.243,0.00000154,0.005027905,"Darlinghurst and Surry Hill",0.02
595,659,14,4,18,5,32122.52929,532.842,0.00000116,0.005027251,"Redfern, Erskineville and Macdonaldtown",0
596,660,142,4,146,8,10683.5769,350.534,0.000000592,0.003338519,"Redfern, Erskineville and Macdonaldtown",0.01
